,Recency,Frequency,Monetory,Cluster
305,9,158,333013.0,0
306,90,56,119797.0,6
307,4,68,91023.0,0
308,7,49,115089.0,0
309,372,23,43142.0,1
310,9,117,390149.0,0
311,14,133,441734.0,0
312,19,42,91772.0,0
313,114,25,55630.0,6
314,15,274,2307074.0,2
315,180,11,26680.0,6
316,235,22,43360.0,1
317,356,4,17596.0,1
318,49,41,87299.0,0
319,333,3,24024.0,1
320,373,10,21355.0,1
321,41,37,122634.0,0
322,10,27,62408.0,0
323,142,134,67823.0,6
324,16,215,1189651.0,2
325,3,103,479956.0,0
326,1,4615,4410721.0,3
327,4,231,467678.0,0
328,12,15,33848.0,0
329,82,53,561920.0,6
330,6,229,2670808.0,2
331,18,63,613410.0,0
332,78,3,1956.0,6
333,87,4,21072.0,6
334,10,366,549597.0,2
335,17,97,375967.0,0
336,17,92,178480.0,0
337,8,67,226818.0,0
338,142,18,62484.0,6
339,201,45,186675.0,6
340,4,306,822597.0,2
341,239,32,132446.0,1
342,212,12,178814.0,6
343,10,54,103103.0,0
344,20,62,166300.0,0
345,10,44,117303.0,0
346,9,159,481643.0,0
347,25,28,87962.0,0
348,5,102,236466.0,0
349,3,78,161072.0,0
350,20,58,67068.0,0
351,38,14,30431.0,0
352,11,17,57822.0,0
353,10,3,7771.0,0
354,75,20,38140.0,6
355,434,1,27360.0,1
356,169,24,45942.0,6
357,49,22,63051.0,0
358,11,45,116840.0,0
359,20,13,34491.0,0
360,365,16,19676.0,1
361,173,6,267792.0,6
362,14,25,51026.0,0
363,44,27,55433.0,0
364,178,25,48459.0,6
365,108,28,57589.0,6
366,50,15,32596.0,0
367,133,1,11952.0,6
368,149,45,106741.0,6
369,11,27,51582.0,0
370,47,3,15336.0,0
371,183,15,146605.0,6
372,4,59,130678.0,0
373,15,6,12198.0,0
374,88,47,121896.0,6
375,129,5,187830.0,6
376,10,25,51028.0,0
377,3,94,195057.0,0
378,35,25,56419.0,0
379,6,56,125062.0,0
380,49,12,47178.0,0
381,43,37,1021983.0,0
382,264,9,28791.0,1
383,33,27,48021.0,0
384,146,24,49573.0,6
385,17,18,37240.0,0
386,10,175,315762.0,0
387,174,12,14774.0,6
388,9,123,86503.0,0
389,3,315,752205.0,2
390,14,116,350832.0,0
391,5,439,528614.0,2
392,18,34,140634.0,0
393,13,108,204607.0,0
394,9,52,39466.0,0
395,261,27,43628.0,1
396,23,91,127997.0,0
397,9,49,134920.0,0
398,11,50,18150.0,0
399,261,20,37857.0,1
400,79,84,225769.0,6
401,81,115,159767.0,6
402,373,3,4728.0,1
403,8,317,275408.0,2
404,18,46,123904.0,0
405,54,6,59198.0,0
406,142,3,31152.0,6
407,12,96,199993.0,0
408,47,25,59304.0,0
409,11,550,623764.0,2
410,14,107,208612.0,0
411,368,2,-1636.0,1
412,85,11,44518.0,6
413,327,66,73421.0,1
414,17,4,44744.0,0
415,150,1,30846.0,6
416,58,83,308777.0,0
417,4,154,214162.0,0
418,28,49,113532.0,0
419,11,12,69640.0,0
420,78,7,30694.0,6
421,36,13,156624.0,0
422,11,42,78180.0,0
423,89,7,32195.0,6
424,10,72,153254.0,0
425,10,86,173583.0,0
426,76,7,35792.0,6
427,25,82,49953.0,0
428,14,3,76050.0,0
429,9,34,23974.0,0
430,52,24,45041.0,0
431,205,4,27084.0,6
432,20,109,1288884.0,0
433,267,10,17244.0,1
434,20,72,67161.0,0
435,20,63,373610.0,0
436,171,2,132600.0,6
437,70,96,279320.0,0
438,25,75,393252.0,0
439,7,24,197798.0,0
440,5,50,314931.0,0
441,149,22,39997.0,6
442,142,109,351763.0,6
443,42,2,68520.0,0
444,9,52,164479.0,0
445,20,28,23752.0,0
446,8,741,2109710.0,2
447,43,28,53858.0,0
448,10,28,20657.0,0
449,47,30,113008.0,0
450,5,45,90726.0,0
451,9,84,297164.0,0
452,48,9,12185.0,0
453,81,27,54586.0,6
454,10,69,3224042.0,2
455,25,107,82963.0,0
456,3,130,307098.0,0
457,20,63,134922.0,0
458,20,120,200553.0,0
459,27,9,19458.0,0
460,10,47,1406976.0,0
461,55,103,106069.0,0
462,73,75,77673.0,0
463,306,1,-398.0,1
464,9,30,73898.0,0
465,200,23,56428.0,6
466,14,102,212061.0,0
467,10,118,266373.0,0
468,9,219,540272.0,0
469,3,23,235382.0,0
470,69,65,127383.0,0
471,6,80,170687.0,0
472,69,17,38045.0,0
473,2,183,662489.0,0
474,18,19,12774.0,0
475,5,244,516132.0,0
476,8,16,34125.0,0
477,22,95,231113.0,0
478,11,109,94209.0,0
479,99,10,19526.0,6
480,5,33,138822.0,0
481,113,5,17062.0,6
482,8,151,60410.0,0
483,5,306,1605069.0,2
484,203,8,15351.0,6
485,212,22,106980.0,6
486,43,9,4438.0,0
487,18,23,757205.0,0
488,9,20,52852.0,0
489,16,34,51025.0,0
490,21,4,10454.0,0
491,1,78,216002.0,0
492,81,30,68861.0,6
493,295,92,60365.0,1
494,6,67,687959.0,0
495,14,13,48380.0,0
496,24,31,70444.0,0
497,12,27,53197.0,0
498,5,73,110728.0,0
499,82,5,25659.0,6
500,23,67,152872.0,0
501,16,28,63967.0,0
502,260,31,69528.0,1
503,6,342,1298316.0,2
504,293,7,16994.0,1
505,155,6,19676.0,6
506,9,409,793775.0,2
507,16,29,55780.0,0
508,57,4,10097.0,0
509,324,15,27693.0,1
510,434,3,5701.0,1
511,15,106,170464.0,0
512,3,222,578459.0,0
513,6,124,383127.0,0
514,16,176,425084.0,0
515,12,47,105968.0,0
516,69,1,23040.0,0
517,9,459,1008838.0,2
518,5,134,333042.0,0
519,10,38,70742.0,0
520,2,42,180606.0,0
521,119,19,834000.0,6
522,23,47,104566.0,0
523,35,10,132814.0,0
524,20,99,100562.0,0
525,53,75,116086.0,0
526,358,11,24175.0,1
527,55,37,82142.0,0
528,58,30,124504.0,0
529,15,48,109939.0,0
530,44,28,108902.0,0
531,9,43,88356.0,0
532,199,14,62905.0,6
533,292,33,75834.0,1
534,41,18,41435.0,0
535,9,35,75897.0,0
536,12,194,386725.0,0
537,20,137,244378.0,0
538,10,14,82962.0,0
539,12,421,756477.0,2
540,15,18,46836.0,0
541,15,78,166730.0,0
542,13,8,29432.0,0
543,16,8,20052.0,0
544,107,15,35544.0,6
545,81,10,29825.0,6
546,44,11,43666.0,0
547,13,69,134493.0,0
548,403,14,23751.0,1
549,9,49,60051.0,0
550,83,15,13569.0,6
551,161,2,48200.0,6
552,1,469,599189.0,2
553,105,9,29490.0,6
554,268,7,20586.0,1
555,12,22,111700.0,0
556,2,112,106117.0,0
557,2,380,1497897.0,2
558,8,6,25582.0,0
559,183,6,12288.0,6
560,2,1059,3798089.0,2
561,12,74,482302.0,0
562,6,18,40408.0,0
563,74,29,29201.0,6
564,5,1853,7408035.0,5
565,9,159,995305.0,0
566,9,24,53203.0,0
567,71,26,57083.0,0
568,17,170,972397.0,0
569,13,29,268779.0,0
570,71,6,16392.0,6
571,9,436,715121.0,2
572,2,605,3654272.0,2
573,286,1,39456.0,1
574,239,8,16092.0,1
575,5,310,842101.0,2
576,100,8,29308.0,6
577,6,20,136536.0,0
578,165,2,7208.0,6
579,19,60,215386.0,0
580,373,10,52288.0,1
581,10,50,102302.0,0
582,9,146,164243.0,0
583,1,275,1074717.0,2
584,14,132,302316.0,0
585,126,31,59924.0,6
586,17,76,143247.0,0
587,20,82,127802.0,0
588,246,1,4212.0,1
589,270,53,36030.0,1
590,133,55,122263.0,6
591,11,235,490319.0,0
592,5,142,313317.0,0
593,83,15,32308.0,6
594,98,2,8280.0,6
595,14,46,131413.0,0
596,268,3,9126.0,1
597,79,7,12965.0,6
598,14,105,223594.0,0
599,15,139,314542.0,0
600,9,705,476564.0,2
601,24,63,124103.0,0
602,9,174,626091.0,0
603,111,46,52298.0,6
604,45,136,314496.0,0
605,20,23,41122.0,0
606,333,3,12651.0,1
607,41,7,68524.0,0
608,27,17,32337.0,0
609,36,4,74760.0,0
610,9,347,422442.0,2
611,20,86,235562.0,0
612,211,75,146312.0,6
613,7,15,69282.0,0
614,9,85,122707.0,0
615,50,89,250304.0,0
616,11,79,155801.0,0
617,38,122,193802.0,0
618,24,4,11140.0,0
619,109,8,12868.0,6
620,12,82,247744.0,0
621,50,42,170950.0,0
622,47,42,51979.0,0
623,10,64,123152.0,0
624,9,133,165057.0,0
625,40,13,84480.0,0
626,27,32,19853.0,0
627,22,48,53427.0,0
628,5,43,47669.0,0
629,20,313,357322.0,2
630,50,72,74846.0,0
631,40,17,32082.0,0
632,9,265,765330.0,2
633,52,11,24002.0,0
634,13,94,499138.0,0
635,13,182,237520.0,0
636,271,1,7248.0,1
637,11,84,196820.0,0
638,19,37,26919.0,0
639,20,2,12186.0,0
640,21,29,61660.0,0
641,11,63,126061.0,0
642,10,29,14015.0,0
643,142,3,8028.0,6
644,20,110,239038.0,0
645,12,229,469954.0,0
646,6,119,1320064.0,0
647,12,46,113940.0,0
648,12,57,128322.0,0
649,22,8,34464.0,0
650,10,147,159020.0,0
651,9,329,781058.0,2
652,11,22,47372.0,0
653,11,56,164951.0,0
654,10,143,93945.0,0
655,12,92,228466.0,0
656,272,5,46468.0,1
657,73,5,66230.0,6
658,73,5,10088.0,6
659,45,21,89601.0,0
660,241,65,95565.0,1
661,205,5,21256.0,6
662,10,108,285833.0,0
663,4,32,805712.0,0
664,17,16,13306.0,0
665,203,9,31091.0,6
666,84,2,43800.0,6
667,137,10,19720.0,6
668,5,611,363417.0,2
669,11,206,167592.0,0
670,19,43,107940.0,0
671,15,58,126192.0,0
672,26,39,92962.0,0
673,22,32,77092.0,0
674,264,22,49778.0,1
675,11,66,81157.0,0
676,114,13,34020.0,6
677,204,58,73521.0,6
678,11,27,13856.0,0
679,51,16,47933.0,0
680,20,143,274541.0,0
681,23,25,68532.0,0
682,14,26,58820.0,0
683,11,23,102696.0,0
684,13,36,189436.0,0
685,38,14,49603.0,0
686,20,38,84236.0,0
687,10,87,35487.0,0
688,62,8,64478.0,0
689,200,9,106684.0,6
690,264,11,25323.0,1
691,2,1673,990656.0,2
692,14,91,290524.0,0
693,9,202,595203.0,0
694,3,224,539051.0,0
695,15,446,507500.0,2
696,4,320,713660.0,2
697,372,1,59200.0,1
698,9,101,27886.0,0
699,9,15,30719.0,0
700,114,16,19557.0,6
701,10,30,66685.0,0
702,20,8,33994.0,0
703,50,46,79793.0,0
704,10,11,15505.0,0
705,19,85,108465.0,0
706,15,40,118325.0,0
707,10,7,13802.0,0
708,323,14,23856.0,1
709,24,187,375667.0,0
710,13,42,47935.0,0
711,39,31,72750.0,0
712,14,54,112077.0,0
713,362,11,22749.0,1
714,142,5,12246.0,6
715,8,59,256847.0,0
716,3,2,38352.0,0
717,270,5,15960.0,1
718,173,22,47291.0,6
719,13,80,77434.0,0
720,43,1,6745.0,0
721,322,21,41429.0,1
722,5,81,261766.0,0
723,12,1,1800.0,0
724,14,57,165757.0,0
725,8,107,224304.0,0
726,9,77,133103.0,0
727,6,26,75785.0,0
728,9,78,199013.0,0
729,2,75,86092.0,0
730,9,86,762070.0,0
731,10,135,261080.0,0
732,4,20,79626.0,0
733,6,500,1299160.0,2
734,15,110,204673.0,0
735,87,11,80554.0,6
736,20,25,24036.0,0
737,4,21,86097.0,0
738,11,77,932158.0,0
739,83,12,79199.0,6
740,39,109,438015.0,0
741,232,17,167132.0,1
742,9,19,94751.0,0
743,11,53,147831.0,0
744,20,21,44904.0,0
745,14,268,444059.0,2
746,81,51,109009.0,6
747,13,24,52082.0,0
748,203,54,102117.0,6
749,17,134,1312740.0,2
750,264,42,94336.0,1
751,174,22,38705.0,6
752,10,119,305114.0,0
753,47,22,44919.0,0
754,101,8,43908.0,6
755,10,14,30222.0,0
756,20,16,34641.0,0
757,20,43,105324.0,0
758,10,16,43739.0,0
759,8,27,55324.0,0
760,81,51,101099.0,6
761,12,32,81014.0,0
762,81,42,96965.0,6
763,199,90,75669.0,6
764,269,29,57472.0,1
765,10,24,50573.0,0
766,5,169,378356.0,0
767,20,60,133168.0,0
768,40,20,-294.0,0
769,9,132,277896.0,0
770,52,1,19584.0,0
771,110,29,76299.0,6
772,355,19,33835.0,1
773,371,44,89075.0,1
774,11,23,46523.0,0
775,10,158,422254.0,0
776,88,38,101231.0,6
777,41,53,123629.0,0
778,10,97,92116.0,0
779,9,173,464656.0,0
780,47,15,29465.0,0
781,9,155,529301.0,0
782,330,35,68814.0,1
783,73,36,76302.0,6
784,21,51,105251.0,0
785,81,13,67356.0,6
786,204,1,6044.0,6
787,2,162,350958.0,0
788,14,21,47450.0,0
789,9,47,161123.0,0
790,19,39,177729.0,0
791,75,26,63839.0,6
792,42,39,86108.0,0
793,21,3,10860.0,0
794,6,11,30336.0,0
795,81,27,66206.1,6
796,3,498,3594149.0,2
797,26,30,120775.0,0
798,111,18,24307.0,6
799,104,24,229993.0,6
800,51,19,76604.0,0
801,5,28,71264.0,0
802,10,313,789498.0,2
803,10,16,35250.0,0
804,151,10,18046.0,6
805,50,104,244776.0,0
806,10,128,324717.0,0
807,111,78,221325.0,6
808,1,158,462629.0,0
809,12,29,97152.0,0
810,20,74,29371.0,0
811,10,67,175463.0,0
812,20,53,100073.0,0
813,40,46,160208.0,0
814,11,10,69336.0,0
815,6,103,495801.0,0
816,3,12,23428.0,0
817,9,167,407797.0,0
818,138,54,38559.0,6
819,11,13,38360.0,0
820,9,62,140472.0,0
821,15,199,427196.0,0
822,24,19,38759.0,0
823,11,71,289773.0,0
824,12,444,409209.0,2
825,269,2,59093.0,1
826,166,17,42714.0,6
827,25,53,118623.0,0
828,10,65,211462.0,0
829,8,394,1229212.0,2
830,9,17,33275.0,0
831,39,27,202618.0,0
832,14,10,16960.0,0
833,59,41,85845.0,0
834,14,18,45012.0,0
835,9,99,139254.0,0
836,3,306,695046.0,2
837,72,10,20740.0,6
838,4,260,333016.0,0
839,10,22,58370.0,0
840,237,64,30069.0,1
841,15,86,195048.0,0
842,17,60,141877.0,0
843,58,81,193474.0,0
844,204,16,33209.0,6
845,51,112,239767.0,0
846,234,11,25433.0,1
847,10,10,22148.0,0
848,242,8,34390.0,1
849,234,23,58653.0,1
850,12,69,142258.0,0
851,15,34,76621.0,0
852,12,427,1121291.0,2
853,13,14,65704.0,0
854,16,86,168444.0,0
855,43,50,146716.0,0
856,278,6,67141.0,1
857,48,18,39471.0,0
858,9,52,239729.0,0
859,99,36,80087.0,6
860,17,20,41168.0,0
861,9,45,182258.0,0
862,9,67,141930.0,0
863,200,53,160578.0,6
864,22,18,42180.0,0
865,81,17,32445.0,6
866,10,22,38053.0,0
867,10,223,475139.0,0
868,171,29,61859.0,6
869,4,162,332019.0,0
870,16,12,12483.0,0
871,38,43,151305.0,0
872,2,117,251195.0,0
873,264,15,30664.0,1
874,42,10,26526.0,0
875,81,4,18004.0,6
876,16,59,119435.0,0
877,23,44,193809.0,0
878,10,143,279585.0,0
879,86,38,87576.0,6
880,52,9,12526.0,0
881,14,88,366730.0,0
882,2,435,148043.0,2
883,31,5,14824.0,0
884,9,176,469272.0,0
885,45,27,84999.0,0
886,21,6,77516.0,0
887,9,224,316895.0,0
888,81,15,34896.0,6
889,207,22,56756.0,6
890,9,66,27056.0,0
891,14,76,37277.0,0
892,3,342,699846.0,2
893,3,179,447227.0,0
894,17,25,136670.0,0
895,18,38,74956.0,0
896,70,87,35986.0,0
897,20,98,80303.0,0
898,11,124,92920.0,0
899,16,52,112297.0,0
900,293,4,9795.0,1
901,10,121,422719.0,0
902,81,136,557387.0,0
903,9,34,87105.0,0
904,6,175,80312.0,0
905,8,33,20514.0,0
906,45,14,20097.0,0
907,16,82,223467.0,0
908,85,49,88330.0,6
909,355,82,154749.0,1
910,19,38,31788.0,0
911,50,176,114732.0,0
912,174,44,23149.0,6
913,20,84,44882.0,0
914,16,27,32256.0,0
915,10,341,301260.0,2
916,206,33,166045.0,6
917,52,26,37730.0,0
918,25,46,100339.0,0
919,11,130,816798.0,0
920,26,85,204024.0,0
921,20,23,55581.0,0
922,18,10,12830.0,0
923,13,53,118173.0,0
924,18,24,16574.0,0
925,9,10,78156.0,0
926,9,179,368244.0,0
927,20,21,42546.0,0
928,20,89,287131.0,0
929,40,58,137007.0,0
930,15,16,28848.0,0
931,19,129,243448.0,0
932,53,26,55811.0,0
933,6,166,89523.0,0
934,50,41,20354.0,0
935,4,263,665586.0,2
936,79,19,36152.0,6
937,50,99,98032.0,0
938,10,23,54495.0,0
939,27,27,24371.0,0
940,16,43,39255.0,0
941,50,98,80295.0,0
942,14,228,136525.0,0
943,11,76,157264.0,0
944,11,201,185589.0,0
945,79,24,48896.0,6
946,50,44,69579.0,0
947,175,13,31318.0,6
948,117,19,39003.0,6
949,9,85,82862.0,0
950,46,19,36916.0,0
951,60,94,226622.0,0
952,19,59,982153.0,0
953,6,80,273371.0,0
954,102,11,236710.0,6
955,16,147,259986.0,0
956,9,188,196569.0,0
957,10,62,140524.0,0
958,9,64,124560.0,0
959,14,100,101468.0,0
960,21,8,18081.0,0
961,81,40,144944.0,6
962,15,66,44292.0,0
963,11,28,64182.0,0
964,20,148,359523.0,0
965,121,5,35050.0,6
966,40,80,216898.0,0
967,169,23,41181.0,6
968,10,98,221620.0,0
969,131,6,10773.0,6
970,51,63,137507.0,0
971,16,166,380221.0,0
972,115,56,125963.0,6
973,19,49,64870.0,0
974,130,16,45773.0,6
975,69,111,312014.0,0
976,203,108,205115.0,6
977,15,58,113316.0,0
978,180,13,23450.0,6
979,40,12,10361.0,0
980,150,87,38604.0,6
981,3,501,813765.0,2
982,51,9,32918.0,0
983,81,25,49196.0,6
984,18,15,1114.0,0
985,9,65,46210.0,0
986,13,25,64644.0,0
987,152,16,68568.0,6
988,2,211,398404.0,0
989,10,57,102345.0,0
990,14,3,6302.0,0
991,108,31,8611.0,6
992,4,37,263771.0,0
993,183,8,10575.0,6
994,10,6,111008.0,0
995,10,9,19737.0,0
996,25,54,208972.0,0
997,327,4,-3470.0,1
998,5,571,9351019.0,5
999,9,90,329089.0,0
1000,39,12,23415.0,0
1001,13,14,32972.0,0
1002,11,197,343530.0,0
1003,326,1,10050.0,1
1004,7,135,300960.0,0
1005,8,28,91646.0,0
1006,18,20,44267.0,0
1007,171,48,98208.0,6
1008,272,50,46103.0,1
1009,4,346,793704.0,2
1010,9,8,25044.0,0
1011,15,13,31803.0,0
1012,16,10,42674.0,0
1013,19,108,135009.0,0
1014,270,21,18037.0,1
1015,9,103,233202.0,0
1016,77,12,42935.0,6
1017,20,60,133651.0,0
1018,107,43,101464.0,6
1019,9,28,67663.0,0
1020,17,86,306071.0,0
1021,45,6,22258.0,0
1022,18,118,211244.0,0
1023,39,42,169880.0,0
1024,9,20,42231.0,0
1025,9,63,124411.0,0
1026,43,43,94918.0,0
1027,15,38,73505.0,0
1028,9,33,71265.0,0
1029,25,208,335348.0,0
1030,6,194,98342.0,0
1031,203,30,38331.0,6
1032,23,3,23076.0,0
1033,241,23,56822.0,1
1034,15,35,76348.0,0
1035,11,323,362401.0,2
1036,4,42,253351.0,0
1037,11,72,178646.0,0
1038,74,26,53216.0,6
1039,617,1,8128.0,1
1040,16,28,113535.0,0
1041,55,24,192831.0,0
1042,200,9,38231.0,6
1043,12,76,171521.0,0
1044,170,35,97703.0,6
1045,13,12,35080.0,0
1046,4,343,270345.0,2
1047,3,143,674198.0,0
1048,19,117,408638.0,0
1049,35,25,78531.0,0
1050,55,57,37927.0,0
1051,51,70,141470.0,0
1052,15,13,21760.0,0
1053,40,17,188267.0,0
1054,19,207,202046.0,0
1055,3,399,2017058.0,2
1056,3,143,337083.0,0
1057,10,120,340990.0,0
1058,9,177,139413.0,0
1059,82,22,45131.0,6
1060,1,213,2657603.0,2
1061,112,9,21402.0,6
1062,8,57,48415.0,0
1063,16,17,14500.0,0
1064,10,115,107942.0,0
